application_id,merchant_id,application_date,monthly_volume,requested_limit,average_ticket_size,owner_credit_score,years_in_business,previous_chargeback_ratio,kyc_status,kyb_status,tmf_list
APP-519788,fLBcbfn10433218,2025-02-05,100000,120000,9827.37,817,7,0.54,Passed,Passed,False
APP-495710,ygwwMqZ65423511,2025-10-20,10000,12000,32.09,748,4,0.46,Passed,Passed,False
APP-259900,wnQrSRP31647525,2025-09-14,50000,60000,29.13,573,5,0.41,Failed,Passed,False
APP-284224,PFzPDjq56413953,2025-10-07,50000,60000,821.03,782,6,0.16,Passed,Passed,False
APP-701831,eyyMDHq71012269,2025-03-29,100000,120000,642.36,790,6,0.22,Passed,Passed,False
APP-743403,jxWkIXH82814893,2025-12-27,10000,12000,167.54,707,10,0.38,Passed,Passed,False
APP-057925,MBnIWUS82278248,2025-09-16,10000,12000,18.84,739,3,0.64,Passed,Passed,False
APP-173335,oecveGp98393010,2025-07-10,10000,12000,50.17,413,8,0.36,Passed,Passed,False
APP-368220,UvZgpmm56670106,2025-01-30,10000,12000,3355.99,825,4,0.59,Passed,Passed,False
APP-529796,ayqYYDs67736026,2025-07-21,25000,30000,9088.11,577,7,1.39,Passed,Passed,False
APP-462116,kdGfleM05009788,2025-12-14,50000,60000,69.6,471,10,0.22,Passed,Passed,False
APP-006208,DuWeaDN43534624,2025-02-19,50000,60000,5206.65,822,8,0.19,Passed,Passed,False
APP-124076,hgVJjrs98084124,2025-06-07,10000,12000,2127.94,841,5,0.55,Passed,Passed,False
APP-536292,eSjIcxL42786801,2025-02-12,100000,120000,45.2,832,0,0.0,Passed,Passed,False
APP-350113,VvYAZQV92322602,2025-04-09,25000,30000,34.22,841,8,0.73,Passed,Passed,False
APP-968950,wPGzRIv30365414,2025-08-04,10000,12000,45.18,786,2,0.51,Passed,Passed,False
APP-918489,RUVVQmx93406088,2025-12-06,10000,12000,173.1,707,10,0.64,Passed,Passed,False
APP-454949,JatsnBY36629946,2025-06-10,50000,60000,534.65,806,10,0.38,Passed,Passed,False
APP-547204,XeDAOKm33200379,2025-06-28,50000,60000,8753.37,794,5,1.42,Passed,Passed,False
APP-421756,NUGBJCk72788957,2025-03-26,10000,12000,3407.25,807,3,0.93,Passed,Passed,False
APP-490465,SjTneAA55812236,2025-02-06,50000,60000,75.36,778,5,1.0,Passed,Passed,False
APP-444465,BFbyvQR68893734,2025-06-27,100000,120000,9700.18,820,3,0.51,Passed,Passed,False
APP-814525,WAqfEbV65375564,2025-02-19,25000,30000,894.21,749,5,0.63,Passed,Passed,False
APP-888646,XktgLbt37452991,2025-04-27,100000,120000,7879.64,724,4,0.68,Passed,Passed,False
APP-089304,AFgBxOD58651850,2025-03-28,50000,60000,7794.69,785,3,0.52,Passed,Passed,False
APP-178421,bFulFnw47379965,2025-03-28,25000,30000,3951.69,786,9,0.32,Passed,Passed,False
APP-913699,zSptQLx37770143,2025-12-13,50000,60000,527.4,728,0,0.0,Failed,Passed,False
APP-548393,WHMsgms18233749,2025-06-28,10000,12000,6372.19,713,4,0.78,Passed,Passed,False
APP-727154,dqEhezF09477752,2025-11-02,100000,120000,2329.98,812,10,0.27,Passed,Passed,False
APP-241250,LBtKNdN99386774,2025-09-19,100000,120000,551.64,735,9,0.74,Passed,Passed,False
APP-834124,RoqYYOL74034471,2025-06-23,100000,120000,46.78,767,5,0.77,Passed,Passed,False
APP-237207,IFCfMcB47174648,2025-04-19,50000,60000,25.74,822,4,0.64,Passed,Passed,False
APP-197537,vuQgkvA29671756,2025-01-18,50000,60000,3590.1,737,9,1.13,Passed,Passed,False
APP-063239,NWFOCWd08760385,2025-12-01,50000,60000,931.61,843,10,0.28,Passed,Passed,False
APP-988773,TrAEEpD31712748,2025-03-24,25000,30000,318.21,784,10,0.73,Passed,Passed,False
APP-521085,JWIyDum97278755,2025-12-01,10000,12000,77.52,751,2,0.38,Passed,Passed,False
APP-375582,APjeEYq51718702,2025-12-20,10000,12000,917.14,709,1,0.56,Passed,Passed,False
APP-321894,bcuYdsw31611724,2025-10-20,25000,30000,940.53,603,0,0.0,Passed,Passed,False
APP-510885,sRIkeCw23747407,2025-10-07,50000,60000,71.37,727,0,0.0,Passed,Passed,False
APP-998181,sXZoMZw06409097,2025-11-29,100000,120000,72.25,741,2,0.7,Passed,Passed,False
APP-994281,xHGrkqE14562328,2025-07-01,10000,12000,7629.56,803,4,0.5,Passed,Passed,False
APP-834206,bNJuNoP54965137,2025-04-04,10000,12000,22.93,814,2,0.43,Passed,Passed,False
APP-395534,ALVUjAP13826758,2025-03-13,10000,12000,335.4,803,5,0.58,Passed,Passed,False
APP-497197,fQnPOMb85064317,2025-02-16,50000,60000,721.26,734,10,0.74,Passed,Passed,False
APP-040932,QbiawYY04228421,2025-04-17,50000,60000,4742.61,763,8,0.74,Passed,Passed,False
APP-430091,DPbdEzB17839084,2025-09-06,100000,120000,575.36,829,5,0.15,Passed,Passed,False
APP-731633,PPXJUnB84789611,2025-02-18,100000,120000,18.14,714,3,0.6,Passed,Passed,False
