application_id,merchant_id,application_date,monthly_volume,requested_limit,average_ticket_size,owner_credit_score,years_in_business,previous_chargeback_ratio,kyc_status,kyb_status,tmf_list
APP-519788,fLBcbfn10433218,2025-02-05,100000,120000,9827.37,767,7,0.54,Passed,Passed,False
APP-495710,ygwwMqZ65423511,2025-10-20,10000,12000,32.09,842,4,0.46,Passed,Passed,False
APP-259900,wnQrSRP31647525,2025-09-14,10000,12000,70.61,762,5,0.29,Passed,Passed,False
APP-284224,PFzPDjq56413953,2025-10-07,100000,120000,722.86,670,5,0.75,Passed,Failed,False
APP-701831,eyyMDHq71012269,2025-03-29,50000,60000,389.09,692,1,0.33,Passed,Passed,False
APP-743403,jxWkIXH82814893,2025-12-27,50000,60000,653.37,813,6,1.49,Passed,Passed,False
APP-057925,MBnIWUS82278248,2025-09-16,25000,30000,76.7,710,2,0.69,Passed,Passed,False
APP-173335,oecveGp98393010,2025-07-10,10000,12000,52.36,685,10,0.41,Passed,Passed,False
APP-368220,UvZgpmm56670106,2025-01-30,25000,30000,9644.68,777,0,0.0,Passed,Passed,False
APP-529796,ayqYYDs67736026,2025-07-21,50000,60000,7336.34,681,3,1.07,Passed,Passed,False
APP-462116,kdGfleM05009788,2025-12-14,100000,120000,79.81,790,10,0.78,Passed,Passed,False
APP-006208,DuWeaDN43534624,2025-02-19,25000,30000,8143.27,776,8,0.26,Passed,Passed,False
APP-124076,hgVJjrs98084124,2025-06-07,25000,30000,6507.54,755,1,0.15,Passed,Passed,False
APP-536292,eSjIcxL42786801,2025-02-12,50000,60000,54.96,791,7,0.43,Passed,Passed,False
APP-350113,VvYAZQV92322602,2025-04-09,100000,120000,45.2,782,0,0.0,Passed,Passed,False
APP-968950,wPGzRIv30365414,2025-08-04,25000,30000,34.22,791,8,0.73,Passed,Passed,False
APP-918489,RUVVQmx93406088,2025-12-06,10000,12000,552.32,804,2,0.51,Passed,Passed,False
APP-454949,JatsnBY36629946,2025-06-10,10000,12000,173.1,808,10,0.64,Passed,Passed,False
APP-547204,XeDAOKm33200379,2025-06-28,50000,60000,6777.17,668,4,0.44,Passed,Passed,False
APP-421756,NUGBJCk72788957,2025-03-26,100000,120000,2836.21,488,9,0.2,Failed,Passed,False
APP-490465,SjTneAA55812236,2025-02-06,10000,12000,32.34,748,7,0.19,Passed,Passed,False
APP-444465,BFbyvQR68893734,2025-06-27,25000,30000,8321.3,519,9,0.6,Passed,Passed,False
APP-814525,WAqfEbV65375564,2025-02-19,100000,120000,554.9,817,3,0.25,Passed,Passed,True
APP-888646,XktgLbt37452991,2025-04-27,10000,12000,4878.35,795,4,0.61,Passed,Passed,False
APP-089304,AFgBxOD58651850,2025-03-28,100000,120000,5538.3,674,8,0.3,Passed,Passed,False
APP-178421,bFulFnw47379965,2025-03-28,50000,60000,7794.69,832,3,0.52,Passed,Passed,False
APP-913699,zSptQLx37770143,2025-12-13,25000,30000,395.17,801,9,0.32,Passed,Passed,False
APP-548393,WHMsgms18233749,2025-06-28,50000,60000,5274.03,822,0,0.0,Passed,Passed,False
APP-727154,dqEhezF09477752,2025-11-02,10000,12000,6372.19,834,4,0.78,Passed,Passed,False
APP-241250,LBtKNdN99386774,2025-09-19,100000,120000,233.0,762,10,0.27,Passed,Passed,False
APP-834124,RoqYYOL74034471,2025-06-23,100000,120000,45.13,685,9,0.74,Passed,Passed,False
APP-237207,IFCfMcB47174648,2025-04-19,100000,120000,46.78,823,5,0.77,Passed,Passed,False
APP-197537,vuQgkvA29671756,2025-01-18,50000,60000,6490.69,476,3,0.77,Passed,Passed,False
APP-063239,NWFOCWd08760385,2025-12-01,100000,120000,385.34,796,5,0.49,Passed,Passed,False
APP-988773,TrAEEpD31712748,2025-03-24,50000,60000,959.15,763,2,0.3,Passed,Passed,False
APP-521085,JWIyDum97278755,2025-12-01,50000,60000,75.31,821,4,0.2,Passed,Passed,False
APP-375582,APjeEYq51718702,2025-12-20,10000,12000,471.97,690,7,0.17,Passed,Passed,False
APP-321894,bcuYdsw31611724,2025-10-20,100000,120000,685.48,796,4,1.29,Passed,Passed,False
APP-510885,sRIkeCw23747407,2025-10-07,10000,12000,73.93,751,2,1.4,Passed,Passed,False
