merchant_id,merchant_legal_name,merchant_dba_name,state,tax_id,mcc_code,website_url
ZodCYQC70354766,"Cain, Freeman and Jones",Newman PLC,Alaska,60-5933026,5734,http://freeman.com/
dGjKjid61504117,"Thomas, Stewart and Sherman",Clark Inc,Alabama,31-9817067,5532,https://www.logan.com/
xuipEGm74729905,"Williamson, King and Choi",Simpson Group,Vermont,46-5256438,7995,https://taylor-reyes.com/
KcnTsJm33884651,Hansen LLC,Davis Inc,Delaware,64-0822675,5411,https://mathews.com/
nsTRPoW59341773,"Mccoy, Krueger and Warner",Rangel Group,Delaware,84-2547783,5968,http://www.owen.com/
DOQHhRf63923186,"Shaffer, Johnson and Lang",Hickman and Sons,Kansas,83-9346737,4511,http://frazier.com/
rQeeMPR57953564,Bailey Group,Benson PLC,Montana,40-9929318,5968,https://www.aguirre-alvarado.com/
OwNequa84920317,"Williams, Day and Pena",Howell LLC,Wyoming,73-2322633,5532,https://www.morgan.com/
CyunWsI06733382,"Williams, Thompson and Evans",Price PLC,South Carolina,87-2873429,7273,http://reed.com/
FMjaCrd01544484,Garcia-Luna,Vazquez Group,Alabama,33-2259346,5968,http://www.pearson.com/
bnlaSrg25498391,"Williams, Bowman and Anderson",Gill Inc,Georgia,91-7614882,5734,http://murphy-howard.com/
BXPVnnS26370079,Robles and Sons,Bailey Group,Missouri,64-7330050,5812,http://www.burns.com/
lONxzwz13345958,Brown and Sons,Harper Ltd,Massachusetts,91-0551595,5532,https://christensen.com/
AsXGwIB37637825,Carney-Kim,Silva Ltd,Massachusetts,75-8155414,4511,http://castro.com/
gxLPauN67996451,Russo LLC,Gutierrez Group,Alabama,48-2779844,5734,https://bernard-porter.com/
oGTYlGx08046606,Baldwin Inc,Butler Group,Michigan,01-2730673,7273,http://www.cook.com/
iFypuUg38029446,Dixon-Baker,Farrell Ltd,Colorado,50-1636535,7995,http://wood-trujillo.org/
KMOMRNW38533584,Hamilton LLC,Walker LLC,Wisconsin,99-5700018,5968,http://www.baldwin.com/
WKDpXeh09018174,Mitchell PLC,Henderson and Sons,Nevada,04-9471259,5812,http://www.caldwell-campbell.com/
TxNFxXH96197400,Green Ltd,Gay LLC,Rhode Island,43-2819072,5651,http://www.evans.com/
cDJCluv18286549,Mccarthy LLC,Wilson Inc,Rhode Island,10-9626191,5968,http://conley-malone.com/
rhnWxgk79606169,"Baker, Atkins and Harris",Abbott LLC,Wyoming,56-9864457,7995,https://www.ford-brown.biz/
yKRQqMb99226915,Tanner-Rosales,Newman Group,Nevada,22-0326100,5411,http://www.perez.com/
XEnTqMq94596915,Hart Ltd,Guerrero and Sons,Indiana,73-6015048,7995,https://www.oconnor.info/
hUooYEN87018811,Rich-Mayer,Clark Inc,Louisiana,39-2792143,5532,https://www.whitehead.com/
VGFWNPc27879633,"Hardy, Lee and Meza",Thompson Inc,North Carolina,25-3037504,5651,http://stone-hopkins.com/
qLwEhZW51978816,Solis and Sons,Barnett LLC,South Carolina,90-0286174,7994,http://www.phillips.info/
Rrnqcod01831377,Rodgers-Kennedy,Jackson Ltd,South Dakota,15-8355308,5411,http://www.dorsey.com/
jNSFNAJ36822015,Kidd-Powell,Miller Group,New Hampshire,02-0898295,7994,https://www.palmer.com/
yjKihWS40766453,Oneal LLC,Williams Inc,Connecticut,39-4544326,5921,https://ellison.org/
GLLqwrQ50929184,"Silva, Moss and Gonzales",Bell Group,Georgia,11-4846005,5411,https://frey-shelton.info/
yugstqt56394904,Benson-Cox,Collins Inc,Maine,50-2685211,5812,https://www.clay.biz/
qpfEJsj46508930,Young PLC,Garcia Group,Vermont,92-8376023,5651,https://robinson.com/
kuWYaTn71542241,"Byrd, Hill and Garcia",Roberts and Sons,Idaho,38-7638851,5968,http://www.evans-jones.info/
pMMJQOJ53700632,Hurley-Clark,Blanchard and Sons,Connecticut,01-8908331,7994,https://www.stevens.com/
gUdJHwW63218945,"Elliott, Norris and Black",Mckinney Inc,North Dakota,22-1672870,5411,https://www.wilson.com/
VPuvmZt42064339,Lopez PLC,Byrd Ltd,Connecticut,91-7462700,5734,http://www.williams-frost.org/
NPfRVWD32424300,Rodriguez and Sons,Walker LLC,Tennessee,38-0063745,5968,https://www.scott-shaw.org/
NZILBMe07121257,Thomas Inc,Carroll PLC,Texas,31-7898026,7273,http://curtis-ward.com/
nffXKDF76991528,"Johnston, Rodriguez and Sullivan",Bond Inc,Connecticut,82-0810616,7995,http://phillips-smith.com/
yivExfb77601231,Smith Group,Dalton PLC,Minnesota,72-5238773,5651,http://young.com/
lglLZeI84581630,Lee and Sons,Haas Group,Florida,52-1899381,5812,http://www.beck.com/
xcyYDRs10262370,"Sharp, Thompson and Bell",Shields and Sons,Oregon,27-5469512,7994,https://mckay-campos.com/
xwMdnyv76316914,Kelly Ltd,Schaefer LLC,Hawaii,35-7398218,5968,http://coleman-camacho.com/
LarZwWv26761747,Avila LLC,Ramsey and Sons,Vermont,06-6040161,5921,https://diaz.info/
PzcSPms80643719,"Dean, Gaines and Walker",Rodriguez Inc,Delaware,54-6376612,5532,https://www.morrison.com/
nODNYdT42401504,"Perry, Kelley and Schmidt",Hunt LLC,North Dakota,57-5910484,7273,http://flores-schultz.info/
wUskOLP59799742,Simon LLC,Lewis PLC,Hawaii,73-5479715,5734,https://petty.com/
WGgvHaI78672530,Richmond-Boyd,Strickland PLC,Kentucky,57-1817103,5812,http://www.whitehead.info/
nCgbaUj19992752,"Robles, Ali and Richardson",Salazar Group,Illinois,50-1237134,7995,https://brown-harris.com/
stZArYg09361301,"Rosario, Moore and Elliott",Booker LLC,California,11-3545485,5812,https://schmidt-smith.org/
DemcWpT32894011,Johnson-Stevens,Rice Group,New Jersey,90-0957543,5921,https://young.biz/
AdfcbzO92759274,"Barr, Briggs and Ruiz",Williams PLC,Vermont,71-0923523,5651,http://www.wood.biz/
vYpZDca61806108,Brown-Smith,Smith and Sons,Wisconsin,24-2221445,7994,http://www.foster.org/
UyKmYrU05101181,"Rodriguez, Patton and Moon",Graham PLC,New Mexico,12-0665486,5968,http://torres.biz/
yqXiLvG32822519,"Hughes, Reynolds and Thomas",Brown Group,Alaska,26-5482131,5812,https://myers.com/
vSDwNva21825480,Phillips LLC,Curtis and Sons,Nebraska,36-4112228,5411,https://www.wilson.com/
jbzfSnN48771320,"Anderson, Young and Osborne",Perry Group,Washington,71-4698872,7995,https://www.dixon.net/
BocSLyA07390049,Camacho-Todd,Kim PLC,Missouri,05-2628298,5968,https://george.com/
OGqUtAw71649545,Murray-Potts,Sanchez Ltd,New Hampshire,21-5780965,5411,http://owens.org/
XyBuqWU32873227,"Welch, Anderson and Callahan",Mack LLC,Nevada,48-5750590,5734,https://www.mcclain.com/
swmJJln21436659,Baird LLC,Clarke LLC,Washington,40-3663525,7994,https://robertson-martin.com/
OjQaYoS89657549,"Payne, Rodriguez and Hall",Reid Ltd,Montana,13-1308430,4511,https://arellano-garcia.com/
newpNrk11158162,"Jones, Howard and Ford",Bowen Group,Michigan,05-9678030,5532,http://villanueva.com/
cPMJfdb05792151,"Lane, Baker and Walker",Johnson Group,New York,37-2320729,5411,http://sanders-roberts.info/
kzZCAVo63808263,"Davidson, Miller and Wright",Francis Group,Michigan,38-8437914,5921,https://www.rodriguez-jefferson.com/
UyhsmGU64293064,Bass Ltd,Hunter Ltd,California,62-8342002,5812,https://www.fernandez.com/
YLsFviY05847438,"Fry, Washington and Colon",Pearson LLC,Rhode Island,68-9461031,5968,http://www.morgan-holt.com/
NzhhWEC42100149,"Morris, Ramirez and Clark",Rodgers Ltd,Arizona,54-7385086,5411,https://bray.org/
VQOiPwV23395300,Dunlap-Larson,Valencia and Sons,South Dakota,57-6716111,5532,http://barnett-robinson.com/
ogVheCw52458701,Henry Ltd,Clark PLC,Illinois,62-2383525,5411,https://www.rogers.biz/
eDeouRM94438787,Bailey Ltd,Caldwell Ltd,Pennsylvania,14-0946335,7995,https://mosley.biz/
hBfXjaP27396433,"Jensen, Mahoney and Fisher",Ferguson Ltd,Virginia,72-9367646,7994,https://www.neal.com/
yyNLgRP67209750,Shea PLC,Edwards Ltd,Montana,80-5530275,5734,https://fisher.com/
tbkyVig31115685,"Williams, Moran and Douglas",Smith and Sons,Wisconsin,62-4191334,4511,http://www.wood.com/
SdCVZpZ29165613,"Robertson, Kim and Wong",Carter LLC,Utah,51-4545695,4511,https://www.smith.com/
VYwgGng57774146,Sanchez-Todd,Blackwell and Sons,Kansas,65-3302644,5532,http://navarro-ford.net/
DUyBBcy66070250,"Davidson, Howard and Robertson",Ward and Sons,Nevada,14-0792774,5651,https://reed-boone.com/
